scenario,protocol,publishers,subscribers,messages_sent,messages_received,duration_sec,throughput_send,throughput_recv,latency_mean_ms,latency_stddev_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,loss_rate_percent,bytes_published,bytes_received
payload-64B,HYQP,1,1,10000,10000,0,8239,12137,21,12137,21,116,1152,52,0469,138,8980,171,8684,178,0494,0,4644,183,8142,0,00,630000,630000
payload-64B,MQTT,1,1,10000,10000,1,2721,7860,92,7860,92,0,1388,0,2040,0,1120,0,2413,0,5810,0,0276,5,7282,0,00,630000,630000
payload-64B,MQTT,1,1,10000,10000,1,2219,8184,21,8184,21,0,1642,0,4024,0,1118,0,2406,1,7455,0,0285,6,9689,0,00,630000,630000
payload-64B,AMQP,1,1,10000,10000,0,3953,25296,05,25296,05,8,5531,4,8422,7,6755,14,4822,45,6168,3,2271,46,1519,0,00,630000,630000
payload-64B,AMQP,1,1,10000,10000,0,3879,25782,04,25782,04,6,3260,3,5228,6,4405,12,9612,16,1550,0,2528,17,6316,0,00,630000,630000
payload-1KB,HYQP,1,1,5000,5000,0,5142,9723,17,9723,17,10,9874,3,6543,11,7285,15,2577,16,6544,0,1693,21,9205,0,00,5115000,5115000
payload-1KB,HYQP,1,1,5000,5000,0,6497,7695,75,7695,75,19,2254,4,0265,19,3152,25,4319,27,3254,0,3452,29,3511,0,00,5115000,5115000
payload-1KB,MQTT,1,1,5000,5000,0,7332,6819,41,6819,41,0,2392,0,2473,0,1986,0,5321,1,0280,0,0540,6,6817,0,00,5115000,5115000
payload-1KB,MQTT,1,1,5000,5000,0,7088,7054,59,7054,59,2,5571,2,3770,1,6857,7,2716,8,0168,0,0709,8,8537,0,00,5115000,5115000
payload-1KB,AMQP,1,1,5000,5000,0,3001,16663,25,16663,25,2,6760,1,6867,2,0205,6,3903,8,0856,0,5665,8,3955,0,00,5115000,5115000
payload-1KB,AMQP,1,1,5000,5000,0,2864,17456,49,17456,49,3,7317,2,6368,3,0248,9,1825,11,8007,0,5708,12,1576,0,00,5115000,5115000
payload-10KB,HYQP,1,1,2000,2000,0,5795,3451,20,3451,20,12,2274,3,1682,12,1863,17,3676,19,1573,0,7060,20,3226,0,00,20478000,20478000
payload-10KB,HYQP,1,1,2000,2000,0,5689,3515,74,3515,74,6,5844,1,4496,6,7453,8,6669,9,2264,1,9680,9,8096,0,00,20478000,20478000
payload-10KB,MQTT,1,1,2000,1322,15,4687,129,29,85,46,510,6011,283,7768,520,9717,904,2116,912,7517,2,1373,917,5520,33,90,20478000,13535958
payload-10KB,MQTT,1,1,2000,1375,15,5109,128,94,88,65,490,6372,284,7383,495,5704,901,1111,904,9971,1,5482,907,7696,31,25,20478000,14078625
payload-10KB,AMQP,1,1,2000,2000,0,3799,5265,05,5265,05,5,7990,2,9297,5,6898,10,6132,11,6048,0,5884,12,0202,0,00,20478000,20478000
payload-10KB,AMQP,1,1,2000,2000,0,4007,4991,87,4991,87,0,7634,0,5921,0,6044,1,6605,4,0131,0,2817,5,2519,0,00,20478000,20478000
burst-10k,HYQP,1,1,10000,10000,0,8154,12263,48,12263,48,79,8279,24,8212,85,4930,106,9887,111,4266,0,6373,116,6651,0,00,1270000,1270000
burst-10k,HYQP,1,1,10000,10000,0,7420,13477,59,13477,59,71,8442,25,0865,68,7973,112,1805,120,0158,0,6880,124,1234,0,00,1270000,1270000
burst-10k,MQTT,1,1,10000,10000,1,3151,7604,10,7604,10,0,1696,0,4541,0,1249,0,2355,0,5967,0,0330,7,8412,0,00,1270000,1270000
burst-10k,MQTT,1,1,10000,10000,1,2692,7878,85,7878,85,0,1479,0,2216,0,1211,0,2394,0,5666,0,0317,5,2099,0,00,1270000,1270000
burst-10k,AMQP,1,1,10000,10000,0,4539,22029,26,22029,26,6,1521,5,0132,5,6124,12,2378,42,1420,0,3000,42,6002,0,00,1270000,1270000
burst-10k,AMQP,1,1,10000,10000,0,4089,24452,91,24452,91,4,7475,3,2452,4,5959,9,5522,12,0553,0,2705,12,8980,0,00,1270000,1270000
